"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Szt2",0.31379176990919,-0.0534464600051019,0.04,0.064,1
"Retreg2",0.314129920516799,0.147402417977146,0.135,0.183,1
"Inpp4a",0.314285220793009,0.024668757915794,0.04,0.018,1
"Thbd",0.314285220793009,-0.216454790732607,0.025,0.046,1
"Clcn6",0.314285220793009,-0.225250739841815,0.025,0.046,1
"Hddc3",0.314285220793009,-0.171625552453267,0.025,0.046,1
"Zfp58",0.314285220793009,0.0925883580099384,0.04,0.018,1
"Tnfrsf10b",0.314285220793009,-0.112937206047952,0.025,0.046,1
"Sla",0.314285220793009,0.0298920456107382,0.04,0.018,1
"Nexmif",0.314285220793009,-0.0626646629031244,0.025,0.046,1
"Tmem38b",0.31450689343199,-0.0567981248847322,0.06,0.092,1
"Selenoh",0.31460321104512,0.136692569906331,0.195,0.257,1
"Nubp2",0.314677771722503,0.0877588563194669,0.12,0.083,1
"Map2k2",0.314882998265536,0.156659888731756,0.315,0.275,1
"2900026A02Rik",0.31491857023104,0.0741719179479566,0.045,0.073,1
"Zbed3",0.31491857023104,0.0916364894682185,0.045,0.073,1
"Atp6v1b2",0.31492487334447,-0.18018663450848,0.185,0.229,1
"Larp1",0.314987870943239,-0.179907893545858,0.22,0.266,1
"Sp3os",0.315089254458583,-0.0902820973054394,0.07,0.101,1
"Mogs",0.315090678624564,-0.0306407122189799,0.13,0.174,1
"Ccdc186",0.315090678624564,-0.0785737094634404,0.13,0.174,1
"Ccrl2",0.315201938155733,0.214230141518921,0.085,0.055,1
"Ik",0.315243347986306,0.385260862675157,0.28,0.239,1
"Sf3a1",0.315276324796968,-0.277793660704335,0.095,0.128,1
"Echs1",0.315844867562786,-0.152187103987447,0.14,0.183,1
"Cpsf1",0.315875625375072,0.132189159265972,0.12,0.083,1
"Ptpn7",0.316380170306447,0.00308844700772314,0.04,0.018,1
"St3gal3",0.316380170306447,-0.0048541338090923,0.025,0.046,1
"1700096K18Rik",0.316380170306447,0.0187541783396133,0.04,0.018,1
"Tyms",0.316380170306447,-0.0277511513247698,0.04,0.018,1
"Tada2b",0.316380170306447,-0.139940404959398,0.025,0.046,1
"Dand5",0.316380170306447,0.0256158058867061,0.025,0.046,1
"Trmt11",0.316380170306447,-0.142316070596113,0.025,0.046,1
"Lss",0.316380170306447,-0.0826478178104233,0.025,0.046,1
"Sirt6",0.316380170306447,0.00616619396902009,0.025,0.046,1
"Sp4",0.316380170306447,-0.0186004305381068,0.025,0.046,1
"Rasal3",0.316380170306447,-0.0069323795000429,0.04,0.018,1
"Map1s",0.316545246820879,0.035048831700814,0.065,0.037,1
"Myo1g",0.316545246820879,-0.0571353067210079,0.065,0.037,1
"Ubtd1",0.316545246820879,-0.0388320593200131,0.065,0.037,1
"Flt3l",0.316614894000921,0.281220015210743,0.085,0.055,1
"Cyp4f13",0.317326919000839,-0.0178286947519383,0.085,0.119,1
"Cars2",0.317391767382149,0.0131402457879129,0.06,0.092,1
"Rtn3",0.317583825062451,-0.0323791856548201,0.35,0.44,1
"Zcchc10",0.318031999268009,0.208045898478612,0.085,0.055,1
"Fis1",0.318238799683646,0.34383322582782,0.465,0.459,1
"Sft2d2",0.31842040666066,0.0425266938119321,0.185,0.239,1
"Psap",0.318433476963581,-0.226972984701158,0.57,0.642,1
"D1Ertd622e",0.318484263431735,-0.0253630365289103,0.04,0.018,1
"Qtrt1",0.318484263431735,0.0044191199307026,0.04,0.018,1
"Zkscan6",0.318484263431735,0.0572550312890805,0.025,0.046,1
"Platr25",0.318484263431735,-0.0633695652273395,0.025,0.046,1
"Dzip1",0.318484263431735,-0.148782234013578,0.025,0.046,1
"Ap1s2",0.318484263431735,-0.159323062379068,0.025,0.046,1
"Pkia",0.318840689867979,-0.0395015146436761,0.06,0.092,1
"Ehd2",0.31887675376276,-0.209678236338273,0.625,0.651,1
"Cops7a",0.318947708761347,-0.177898713225636,0.15,0.193,1
"Casp8ap2",0.318978311664177,0.0883593707384817,0.12,0.165,1
"Cul5",0.318978311664177,-0.0138832200774147,0.12,0.165,1
"Tsr3",0.318988953822018,-0.00920561975942319,0.1,0.138,1
"Ddx47",0.319163166130186,-0.0883491769854005,0.22,0.275,1
"Foxa1",0.319374350548326,0.0558783671372478,0.075,0.11,1
"Prkag1",0.319750428253213,0.305708791820236,0.195,0.156,1
"Itga4",0.319815110973811,-0.141391243662199,0.065,0.037,1
"Slc25a28",0.319844152297833,-0.106317494428711,0.085,0.119,1
"Commd4",0.319965424914989,0.216301841218542,0.245,0.202,1
"Ppp5c",0.320072489422293,0.126487666067361,0.11,0.156,1
"Trappc13",0.320256173155141,0.335845127847028,0.135,0.101,1
"Ube2d2a",0.320292454124434,-0.0932773596691283,0.345,0.422,1
"Zfpl1",0.320390546077864,0.131075310639051,0.155,0.211,1
"Chchd7",0.320597500148882,-0.109322830241032,0.025,0.046,1
"Zscan22",0.320597500148882,-0.101780491014736,0.025,0.046,1
"Dcun1d3",0.320597500148882,-0.0956750109395448,0.025,0.046,1
"Zfp553",0.320597500148882,-0.0570691575574887,0.025,0.046,1
"2010001K21Rik",0.320597500148882,-0.0500870274707773,0.04,0.018,1
"Dhfr",0.320597500148882,-0.0908052361744426,0.025,0.046,1
"Tmem117",0.320597500148882,-0.00929187429354709,0.025,0.046,1
"Mlst8",0.320597500148882,-0.0989512687884634,0.025,0.046,1
"Enpp5",0.320648370111487,-0.141170956618392,0.26,0.33,1
"Ints5",0.320717586589885,-0.158613259087172,0.04,0.064,1
"Hint3",0.320734138217008,-0.0740931681509484,0.175,0.229,1
"Magoh",0.320936264923516,-0.152379892765694,0.19,0.239,1
"Btg3",0.32105454476723,-0.239607532290833,0.34,0.385,1
"3830406C13Rik",0.321058808094493,-0.245152992369838,0.22,0.266,1
"Gpkow",0.321172924209841,0.110964374553724,0.075,0.046,1
"Pmvk",0.32130296857952,-0.20284026194584,0.095,0.128,1
"mt-Nd3",0.321380323518133,-0.138114243050753,0.775,0.835,1
"Ccdc112",0.321394799143531,-0.0544890142024033,0.11,0.147,1
"Usp43",0.321458298403702,-0.0265473493666527,0.045,0.073,1
"1810058I24Rik",0.321547787483241,0.289912677623266,0.36,0.321,1
"Arfrp1",0.321959666077218,-0.0225641893444166,0.15,0.193,1
"Lrrc51",0.322308211237659,0.242391965885614,0.085,0.055,1
"Zfp386",0.322374410086159,-0.00317968887553804,0.085,0.119,1
"Map2",0.322470982176871,0.141076425346799,0.16,0.119,1
"Tpr",0.322502339083642,-0.403614920075239,0.38,0.431,1
"Fiz1",0.322529810039897,-0.0790582861419191,0.1,0.138,1
